Id,SalePrice
1461,115643.43000988159
1462,166834.48573508285
1463,164227.23441366322
1464,188436.01884347072
1465,234094.6851586406
1466,162339.13720229492
1467,148538.70476477285
1468,164227.23441366322
1469,149157.46036526092
1470,142032.61305334928
1471,119721.15451607836
1472,106206.05211621497
1473,99344.86327090117
1474,147340.69173229532
1475,121815.65764874266
1476,405875.6545550021
1477,291139.3836879486
1478,343104.95986407984
1479,350544.02578686166
1480,410466.8690385078
1481,289587.4430026586
1482,218272.1499860483
1483,189270.28073900577
1484,177008.50741129738
1485,193739.4044714325
1486,205905.5399170162
1487,345998.5266914279
1488,221999.57586704462
1489,244729.16265491938
1490,212551.21445332133
1491,224990.72052556108
1492,100990.62023806007
1493,126231.40081957259
1494,297308.98213208653
1495,298324.9976410667
1496,172820.76772399803
1497,177743.0772802156
1498,203721.64485272998
1499,165382.76775365262
1500,169793.75633128444
1501,177173.1502100562
1502,169931.10650860428
1503,249478.91566678468
1504,233631.95915879292
1505,208710.15294584885
1506,169558.22894819142
1507,205607.03543128417
1508,179818.39784847604
1509,166566.11644277527
1510,145032.51763244087
1511,188366.11112992026
1512,142377.94181459636
1513,133738.66810544342
1514,139864.9632352057
1515,155878.84922254184
1516,135592.22741544788
1517,137906.35424067324
1518,121027.89386192168
1519,183106.72382873637
1520,145067.0145822702
1521,142114.5068583547
1522,135062.99143632053
1523,133160.17446948896
1524,106719.66676294291
1525,127915.71290553093
1526,111771.7186772791
1527,116969.73378454588
1528,120750.39985028646
1529,182257.154314297
1530,159563.07652679173
1531,144035.1727699216
1532,101165.09279011528
1533,150577.27445688643
1534,120803.44413969212
1535,136742.45869778423
1536,104328.44554244867
1537,38220.299573829
1538,150668.61433421122
1539,171080.79970596373
1540,49977.682107947476
1541,129235.25395273385
1542,137086.65826894043
1543,146383.1672774101
1544,93882.17415611268
1545,118692.14635728704
1546,143518.03079749166
1547,137248.0924266733
1548,133523.35807571825
1549,137494.0118302804
1550,128504.8871664
1551,90317.79836049733
1552,114839.01352801002
1553,173349.9364255391
1554,133961.0739899676
1555,139865.8164149929
1556,161993.90503353262
1557,113820.45900241006
1558,153298.2216146025
1559,105214.48701680813
1560,140518.0610386181
1561,98256.12312737253
1562,160637.8076123859
1563,145056.61672900332
1564,140518.83369763847
1565,148986.05975773567
1566,206584.82076948573
1567,84081.85544082495
1568,243987.34935138724
1569,114526.87674886489
1570,127753.64390944128
1571,119535.76635281651
1572,98449.58743521446
1573,206092.15553192075
1574,127602.11429876843
1575,217209.2811579714
1576,246845.07644146658
1577,192591.16041235204
1578,163658.1329602462
1579,151750.9414685802
1580,184462.2546683681
1581,176900.60569671597
1582,134014.95053462338
1583,229767.8956282739
1584,213067.48109783494
1585,148709.64540604508
1586,124555.8148456454
1587,116797.65240635525
1588,120966.75016404351
1589,90572.55542383746
1590,131877.43888062093
1591,135491.750475028
1592,102585.23434588415
1593,126271.09122845603
1594,150400.7415675973
1595,145335.33485301113
1596,205628.18649868757
1597,200671.84016872323
1598,199759.47179460624
1599,182164.4702193665
1600,182164.4702193665
1601,81691.3767610603
1602,127650.89355524123
1603,74652.41255183882
1604,238292.75688442297
1605,206808.37340492266
1606,165308.25655986197
1607,183805.26956529735
1608,228679.90472478233
1609,237976.13353316032
1610,199191.3728719786
1611,155118.1670249622
1612,168862.5316458943
1613,153281.34076251174
1614,99488.25827371108
1615,105937.71480068204
1616,113887.03574961319
1617,103354.55826430037
1618,172633.00250185275
1619,145402.80354076796
1620,115901.23247881135
1621,159400.9091827289
1622,165479.91639517542
1623,227243.75377946754
1624,208697.72961393098
1625,127431.49471555973
1626,157428.49941068407
1627,177496.603466609
1628,206706.2539160646
1629,142687.16872082595
1630,266811.12171738694
1631,273525.3534396115
1632,255132.66904542345
1633,170331.33404067336
1634,178051.98395879587
1635,174879.98057725342
1636,158585.76791073428
1637,165380.87653081858
1638,175731.87589813027
1639,164228.74895378618
1640,203399.7632094941
1641,160404.47417383327
1642,292379.4332143185
1643,234209.675963721
1644,233828.24913785257
1645,181284.26027687153
1646,191865.47746423914
1647,168230.80542418564
1648,132974.51341966464
1649,153970.2285576992
1650,112831.04861906121
1651,118933.78161455406
1652,100145.57726994957
1653,100145.57726994957
1654,140509.53579689228
1655,112083.89416247825
1656,144817.67114703366
1657,152766.99209596482
1658,170236.51316951026
1659,132290.6714104819
1660,181033.32209132033
1661,418831.26200387895
1662,347781.61557132145
1663,382608.02036355366
1664,517375.4101270592
1665,364171.7864977947
1666,271270.5154349289
1667,358340.4967656585
1668,392586.907649469
1669,314168.0045699881
1670,390894.56739848724
1671,292793.5557094441
1672,336445.2999432194
1673,290992.58102169575
1674,261888.66678978788
1675,219072.8639850967
1676,211123.5430361656
1677,219072.8639850967
1678,419887.6207685112
1679,336445.2999432194
1680,348781.8968055784
1681,331164.6240124374
1682,288348.07018198294
1683,214627.37845763552
1684,203622.87103365333
1685,206706.2539160646
1686,177809.22141034578
1687,181017.72004416844
1688,206706.2539160646
1689,206706.2539160646
1690,206706.2539160646
1691,206706.2539160646
1692,210547.31542353707
1693,195902.22111553082
1694,173655.54195913658
1695,157043.92098609166
1696,229991.39318770578
1697,161489.40651355288
1698,304854.8703589558
1699,320714.01343045465
1700,304854.8703589558
1701,303571.1971675763
1702,242992.69634839665
1703,238547.21082093543
1704,222800.28986609302
1705,245682.00925931305
1706,308446.5853722822
1707,231539.12831567012
1708,227947.1008106561
